param n:= 98 ;
param r:= 2 ;

param Tmax:= 1000 ;

param cant_clases:= 10 ;

param b:=
0 0
1 4.0
2 12.0
3 3.0
4 15.0
5 13.0
6 20.0
7 21.0
8 4.0
9 25.0
10 21.0
11 7.0
12 3.0
13 9.0
14 5.0
15 20.0
16 21.0
17 19.0
18 2.0
19 16.0
20 18.0
21 24.0
22 24.0
23 8.0
24 16.0
25 19.0
26 12.0
27 9.0
28 3.0
29 15.0
30 4.0
31 24.0
32 22.0
33 14.0
34 11.0
35 20.0
36 5.0
37 11.0
38 12.0
39 7.0
40 1.0
41 23.0
42 13.0
43 4.0
44 23.0
45 17.0
46 13.0
47 9.0
48 10.0
49 22.0
50 21.0
51 13.0
52 25.0
53 8.0
54 20.0
55 3.0
56 4.0
57 13.0
58 18.0
59 1.0
60 10.0
61 16.0
62 9.0
63 13.0
64 23.0
65 14.0
66 5.0
67 1.0
68 6.0
69 20.0
70 10.0
71 19.0
72 24.0
73 3.0
74 5.0
75 13.0
76 5.0
77 4.0
78 12.0
79 11.0
80 20.0
81 13.0
82 1.0
83 3.0
84 2.0
85 23.0
86 8.0
87 25.0
88 18.0
89 4.0
90 5.0
91 21.0
92 23.0
93 19.0
94 2.0
95 21.0
96 10.0
97 0
;

param o:=
0 0
1 389
2 444
3 275
4 367
5 413
6 66
7 232
8 473
9 351
10 302
11 411
12 146
13 214
14 128
15 158
16 447
17 134
18 81
19 418
20 455
21 369
22 99
23 150
24 126
25 429
26 254
27 255
28 161
29 236
30 176
31 298
32 142
33 404
34 101
35 236
36 391
37 354
38 183
39 392
40 425
41 170
42 182
43 136
44 287
45 289
46 354
47 284
48 153
49 310
50 186
51 400
52 305
53 263
54 446
55 260
56 211
57 148
58 133
59 407
60 70
61 262
62 101
63 147
64 207
65 212
66 325
67 101
68 418
69 400
70 477
71 96
72 95
73 86
74 453
75 355
76 407
77 451
78 417
79 116
80 123
81 455
82 385
83 402
84 203
85 213
86 169
87 436
88 361
89 113
90 112
91 302
92 187
93 299
94 85
95 196
96 229
97 0
;

param e:=
0 0
1 12.0
2 1.0
3 1.0
4 15.0
5 10.0
6 12.0
7 15.0
8 16.0
9 18.0
10 9.0
11 5.0
12 19.0
13 11.0
14 12.0
15 13.0
16 8.0
17 14.0
18 9.0
19 2.0
20 25.0
21 6.0
22 16.0
23 18.0
24 4.0
25 17.0
26 4.0
27 22.0
28 12.0
29 13.0
30 5.0
31 24.0
32 12.0
33 16.0
34 8.0
35 10.0
36 15.0
37 21.0
38 5.0
39 9.0
40 5.0
41 9.0
42 20.0
43 14.0
44 24.0
45 23.0
46 12.0
47 13.0
48 19.0
49 21.0
50 5.0
51 9.0
52 23.0
53 8.0
54 5.0
55 8.0
56 10.0
57 9.0
58 21.0
59 12.0
60 8.0
61 4.0
62 14.0
63 19.0
64 23.0
65 4.0
66 9.0
67 1.0
68 21.0
69 20.0
70 24.0
71 22.0
72 25.0
73 19.0
74 14.0
75 11.0
76 22.0
77 25.0
78 5.0
79 10.0
80 4.0
81 4.0
82 6.0
83 22.0
84 17.0
85 22.0
86 3.0
87 25.0
88 22.0
89 23.0
90 16.0
91 13.0
92 23.0
93 1.0
94 11.0
95 19.0
96 21.0
97 0
;

param c:=
0 1000
1 536
2 558
3 412
4 524
5 589
6 173
7 357
8 601
