param n:= 74 ;
param r:= 2 ;

param Tmax:= 1000 ;

param cant_clases:= 10 ;

param b:=
0 0
1 20.0
2 6.0
3 19.0
4 10.0
5 18.0
6 1.0
7 15.0
8 23.0
9 13.0
10 12.0
11 7.0
12 25.0
13 5.0
14 1.0
15 25.0
16 10.0
17 2.0
18 7.0
19 11.0
20 4.0
21 6.0
22 15.0
23 7.0
24 8.0
25 10.0
26 9.0
27 4.0
28 6.0
29 22.0
30 17.0
31 9.0
32 25.0
33 10.0
34 18.0
35 21.0
36 10.0
37 23.0
38 23.0
39 11.0
40 1.0
41 23.0
42 16.0
43 10.0
44 12.0
45 12.0
46 3.0
47 22.0
48 21.0
49 13.0
50 15.0
51 13.0
52 20.0
53 10.0
54 25.0
55 7.0
56 15.0
57 2.0
58 23.0
59 5.0
60 25.0
61 9.0
62 2.0
63 24.0
64 13.0
65 20.0
66 13.0
67 15.0
68 4.0
69 20.0
70 8.0
71 19.0
72 20.0
73 0
;

param o:=
0 0
1 397
2 110
3 301
4 209
5 223
6 286
7 106
8 426
9 147
10 296
11 247
12 77
13 370
14 269
15 402
16 81
17 370
18 237
19 455
20 244
21 385
22 146
23 175
24 191
25 120
26 435
27 311
28 442
29 129
30 256
31 60
32 291
33 418
34 472
35 161
36 466
37 462
38 92
39 259
40 477
41 217
42 423
43 210
44 330
45 461
46 141
47 282
48 299
49 335
50 176
51 257
52 425
53 99
54 360
55 363
56 186
57 253
58 428
59 275
60 414
61 402
62 337
63 359
64 338
65 375
66 324
67 147
68 234
69 244
70 282
71 324
72 465
73 0
;

param e:=
0 0
1 8.0
2 15.0
3 20.0
4 7.0
5 13.0
6 6.0
7 5.0
8 1.0
9 12.0
10 18.0
11 25.0
12 14.0
13 18.0
14 13.0
15 6.0
16 14.0
17 10.0
18 18.0
19 8.0
20 6.0
21 2.0
22 4.0
23 4.0
24 23.0
25 12.0
26 24.0
27 17.0
28 18.0
29 25.0
30 22.0
31 10.0
32 25.0
33 21.0
34 21.0
35 16.0
36 23.0
37 21.0
38 15.0
39 7.0
40 20.0
41 6.0
42 16.0
43 10.0
44 7.0
45 20.0
46 9.0
47 12.0
48 10.0
49 19.0
50 6.0
51 14.0
52 23.0
53 8.0
54 10.0
55 14.0
56 3.0
57 25.0
58 21.0
59 5.0
60 2.0
61 3.0
62 21.0
63 1.0
64 25.0
65 21.0
66 21.0
67 25.0
68 14.0
69 20.0
70 14.0
71 11.0
72 25.0
73 0
;

param c:=
0 1000
1 571
2 249
3 449
4 306
5 383
6 425
7 207
8 574
9 321
10 398
11 409
12 205
13 504
14 380
15 546
16 241
17 486
18 348
19 604
20 357
21 484
22 261
23 303
24 299
25 269
26 561
27 463
28 571
29 271
30 399
31 191
32 438
33 529
34 622
35 312
36 624
37 584
38 188
39 426
40 585
41 369
42 556
43 351
44 500
45 578
46 267
47 448
48 416
49 426
50 311
51 379
52 534
53 234
54 535
55 510
56 320
57 379
58 565
59 451
60 564
61 511
62 486
63 476
64 461
65 476
66 445
67 242
68 386
69 397
70 453
71 473
72 592
73 1000
;

param t
:	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73 :=
0	0.0	123.98	60.64	61.01	22.31	71.29	66.83	52.59	40.72	28.58	67.14	34.78	66.42	41.1	10.39	67.89	66.11	69.5	53.74	28.11	50.9	9.24	44.79	90.7	97.06	25.88	77.13	41.09	54.02	32.79	20.57	47.68	41.79	87.99	40.55	52.82	39.45	33.91	68.78	70.39	7.92	79.69	27.96	54.59	40.27	58.91	49.22	82.91	8.44	45.37	99.92	58.9	33.3	49.0	49.02	14.76	54.45	116.78	37.83	50.69	33.64	41.21	34.5	78.97	91.33	74.14	13.23	14.59	63.55	24.31	25.7	59.48	57.92	0.0
1	123.98	0.0	178.89	176.82	122.16	141.51	105.39	71.43	156.14	113.22	148.67	113.0	60.01	98.9	125.87	171.42	181.67	61.04	156.56	111.03	151.29	115.49	164.69	33.52	123.39	149.85	47.1	134.23	119.68	124.7	117.8	144.81	165.69	146.48	159.54	171.54	149.85	90.17	188.01	190.78	130.15	60.69	109.68	69.45	160.2	164.57	125.89	45.06	116.97	79.07	75.48	72.21	118.77	132.65	167.88	114.9	172.51	122.44	91.09	84.0	127.55	84.96	156.93	127.36	37.17	153.36	117.4	135.47	61.87	142.58	127.3	169.85	145.12	123.98
2	60.64	178.89	0.0	67.07	76.98	115.44	91.24	108.82	62.9	66.07	56.13	67.61	125.17	101.01	54.75	88.25	69.63	129.24	31.75	68.1	36.15	69.79	53.82	146.93	150.37	40.06	132.05	49.43	106.96	84.47	61.11	41.61	35.28	81.95	55.89	7.81	30.0	90.68	9.26	13.01	58.46	140.11	69.36	111.72	53.58	81.65	99.55	141.42	64.87	103.74	160.27	119.13	88.03	95.75	57.02	74.76	60.1	171.79	87.8	111.32	53.25	101.0	46.61	129.83	149.54	59.49	62.51	46.31	121.93	58.8	51.79	17.92	97.8	60.64
